EventKey,UserID,Question,Responses
259807,-8055611636875733401,Please provide any additional comments.,Temperature to cold
259807,-8051527362504986171,Please provide any additional comments.,Not really for me
259807,-8044337745014451538,Please provide any additional comments.,"Both speakers were amazing. Their message was positive and empowering regardless of whether a person is in the community or not. Pushing other companies to be better champions of humanity while excelling in their business ventures. Love the message. Love knowing that even if my company doesn't have a supportive environment, I can still be a personal ally just so any person that works with me, will feel the right form of ""I will always find you."" Thank you for your time and efforts globally!!!"
259807,-8037522883742132646,Please provide any additional comments.,Was a good session
259807,-8024728876748375444,"Please provide additional constructive comments, suggestions, or feedback to improve your experience.","Some sessions were brilliant and I got a lot out of them. One or two were unfocused on the topics, they seemed to wander somewhere else, one on Blob Storage spent a long time talking about OneDrive and Sharepoint but not in terms of Blob. It might be better to try and group like topics closer together, for example one set of rooms where developer topics were mostly held. I did not go to a couple of talks as they were so far away from the previous. "
259807,-8016241563005143711,"Please provide additional constructive comments, suggestions, or feedback to improve your experience.","For me Ignite was on one part a bit disappointed, first the food, not in the first place the quality which was ok but it took a very long time to get the lunch, the space to pick up lunch was only in the West building/Hyatt and with so many attendees that caused long lines, last year there was also an opportunity to get lunch in east and as there were no Ignite sessions that was not possible or not applicable"
259807,-8002643150673452489,"Please provide additional constructive comments, suggestions, or feedback to improve your experience.","Incredible event, knowledge for all levels. Organization at its greatest! Impressive! Everything was under control! I am amazed, feel so motivated with the new knowledge."
259807,-7990658015214370886,Please provide any additional comments.,Great! I have a much better application of what it takes to set up a bot. In just a couple of days i have completely forgotten all of the deferent components that you sewed together. I hope there is a overview slide in your deck. Thank you!
259807,-7979753875799259355,What one specific improvement could this event make that would have the greatest impact on the overall value?,Better food.
259807,-7958491423541655922,What one specific improvement could this event make that would have the greatest impact on the overall value?,Have a better transportation service and make sure there is enough food for everyone 
259807,-7942693937579671494,Please provide any additional comments.,Vlad was informative and funny as always. great overview of what is possible with office 365.
259807,-7932341355157190156,Please provide any additional comments.,none
259807,-7907284514186338573,Please provide any additional comments.,"Great presentation, very detailed content, excellent demos."
